Transaction ID,Transactions
Trans1,"Milk, Bread, Eggs"
Trans2,"Toothpaste, Laundry Detergent"
Trans3,"Diapers, Milk, Chocolate Bars"
Trans4,"Bread, Chicken Breast, Apples, Rice"
Trans5,"Milk, Eggs, Bread"
Trans6,"Laundry Detergent, Diapers, Toothpaste"
Trans7,"Chicken Breast, Apples"
Trans8,"Rice, Chicken Breast, Milk"
Trans9,"Chocolate Bars, Bread"
Trans10,"Eggs, Milk, Rice"
Trans11,"Apples, Diapers"
Trans12,"Bread, Toothpaste, Laundry Detergent"
Trans13,"Chicken Breast, Eggs, Milk"
Trans14,"Rice, Diapers, Chocolate Bars"
Trans15,"Apples, Bread"
Trans16,"Milk, Toothpaste"
Trans17,"Laundry Detergent, Bread, Eggs"
Trans18,"Diapers, Milk, Apples"
Trans19,"Chocolate Bars, Chicken Breast, Rice"
Trans20,"Eggs, Milk, Bread, Toothpaste"
